date,latitude,longitude,xco2_bias_corrected
2024-01-31,19.153309,72.95882,425.59207
2024-01-31,19.09654,72.91874,418.26755
2024-01-31,19.089233,73.06215,421.29453
2024-01-31,18.911097,73.07712,421.29318
2024-01-31,18.816576,73.08531,420.83975
2024-01-28,23.920038,93.38825,422.5192
2024-01-28,23.921637,93.3866,424.3088
2024-01-28,23.923342,93.38485,422.92236
2024-01-28,22.55034,72.943886,421.68585
2024-01-28,22.827702,70.89138,423.1393
2024-01-28,22.19659,69.72956,421.2912
2024-01-28,19.550072,73.37543,421.94232
2024-01-24,28.751667,77.3938,423.1826
2024-01-24,28.66099,77.39475,422.57153
2024-01-24,28.567322,77.08451,422.50293
2024-01-24,28.566723,77.396545,422.027
2024-01-24,26.895088,79.11144,420.4221
2024-01-24,25.55639,80.839066,421.47162
2024-01-24,24.073475,82.58842,424.28207
2024-01-24,24.073446,82.4915,423.93552
2024-01-24,23.984749,82.50154,419.22232
2024-01-24,23.985266,82.6005,424.05643
2024-01-24,23.906572,82.550125,420.99396
2024-01-24,23.874563,82.64244,424.66925
2024-01-24,23.873941,82.74059,427.47205
2024-01-24,21.070984,79.01386,420.37332
2024-01-24,21.072638,79.01261,421.77936
2024-01-24,21.074898,79.011406,420.84427
2024-01-24,21.447931,76.481804,419.86655
2024-01-24,21.451735,76.48123,419.94522
2024-01-24,21.457758,76.480606,420.86932
2024-01-24,16.364113,75.41683,419.5189
2024-01-24,10.943775,76.77556,425.2158
2024-01-01,26.48928,93.932175,417.9722
2024-01-01,26.492102,93.93136,420.0298
2024-01-01,26.497108,93.93057,420.63446
2024-01-01,28.341648,72.56859,420.70184
2024-01-01,27.710903,75.182045,422.219
2024-01-01,27.70962,75.18067,419.18274
2024-01-01,27.710754,75.17972,418.87784
2024-01-01,25.44607,74.576706,419.5644
2024-01-01,26.065767,72.00828,420.40567
2024-01-01,23.910168,68.83735,422.81097
2024-01-01,23.912289,68.83556,421.7346
2024-01-01,23.913815,68.83397,423.19485
2024-01-01,23.545732,71.40708,420.1348
2024-01-01,23.547981,71.40639,419.45615
2024-01-01,23.550762,71.405426,419.913
2024-01-01,22.934628,73.920334,416.8638
2024-01-01,19.226635,72.95329,420.23834
2024-01-01,19.23092,73.04439,418.52496
2024-01-01,19.150211,73.05584,423.3664
2024-01-01,19.087086,73.06139,423.00543
2024-01-01,18.909773,73.0769,421.8962
2024-01-01,18.815458,73.084915,422.86438
2024-01-09,29.753597,79.25749,421.37454
2024-01-09,29.75411,79.00949,420.8725
2024-01-09,29.542313,79.39727,419.30032
2024-01-09,24.261007,82.79322,422.39203
2024-01-09,24.096552,82.62233,422.69336
2024-01-09,23.9797,82.83253,423.5201
2024-01-09,21.814972,81.52358,421.82178
2024-01-09,19.701277,79.366745,420.1125
2024-01-09,19.387867,79.42846,424.15088
2024-01-14,25.453476,90.94593,420.2557
2024-01-14,23.053198,88.58008,422.05725
2024-01-14,22.964361,88.530266,421.86606
2024-01-14,22.874907,88.48019,422.25845
2024-01-14,21.457941,84.66213,422.4726
2024-01-06,18.51256,78.433014,419.07465
2024-01-06,18.51252,78.4317,418.8627
2024-01-06,18.51275,78.43013,417.7312
2024-01-06,17.911373,80.86629,422.20688
2024-01-06,17.91314,80.86539,421.85205
2024-01-06,17.915758,80.86464,422.6552
2024-01-06,15.98871,77.87267,417.3297
2024-01-06,15.989597,77.87105,417.81915
2024-01-06,15.992359,77.869965,418.2417
2024-01-15,29.751808,80.00345,426.04297
2024-01-15,29.753016,79.75546,418.88315
2024-01-15,29.79831,79.4752,423.52295
2024-01-15,29.75198,79.25697,418.70895
2024-01-15,29.752449,79.00908,419.71075
2024-01-15,29.542608,79.3973,417.3734
2024-01-15,29.353624,80.00795,420.16364
2024-01-15,29.358965,79.4663,418.53967
2024-01-15,29.251362,79.75846,419.9051
2024-01-15,29.001766,80.008835,416.7668
2024-01-15,29.253471,77.261215,424.0724
2024-01-15,29.31639,76.91831,422.76346
